"addr","mean_rtt","rtt.1","rtt.2","rtt.3"
"128.95.230.102",2.50433333333333,0.438,3.684,3.391
"10.132.1.73",0.386666666666667,0.449,0.361,0.35
"10.132.1.75",0.499,0.55,0.456,0.491
"209.124.188.134",0.703333333333333,0.805,0.648,0.657
"198.104.202.5",1.25233333333333,1.209,1.312,1.236
"129.250.5.46",0.967333333333333,0.977,0.968,0.957
"129.250.3.43",72.516,72.816,72.768,71.964
"129.250.2.163",52.473,52.031,52.736,52.652
"129.250.2.138",73.6003333333333,73.702,73.588,73.511
"129.250.3.84",86.7273333333333,86.795,86.753,86.634
"129.250.3.21",160.831333333333,160.952,160.832,160.71
"129.250.3.94",180.552,180.34,180.863,180.453
"212.119.15.18",206.475666666667,206.379,206.576,206.472
"193.151.28.17",196.424,196.398,196.494,196.38
"85.120.75.2",195.109666666667,194.979,195.117,195.233
